product_id,name,description,price,cost,category_id,sku,inventory_count,weight,is_active
47,Sometimes Hope 47,Quality hope for everyday use.,407.69,216.92,156,SKU-PU-0000047,50,12.61,true
48,Cup Employee 48,Quality employee for everyday use.,163.28,110.12,462,SKU-NF-0000048,294,8.48,true
49,Light Address 49,Quality address for everyday use.,400.80,297.62,72,SKU-ZG-0000049,158,1.89,true
50,Customer Believe 50,Quality believe for everyday use.,302.75,130.51,458,SKU-JJ-0000050,13,8.72,true
51,Unit Receive 51,Quality receive for everyday use.,112.87,79.69,461,SKU-XN-0000051,36,7.12,false
52,Stage Value 52,Quality value for everyday use.,210.52,110.12,300,SKU-TX-0000052,296,14.44,false
53,Lose Scientist 53,Quality scientist for everyday use.,162.90,79.28,83,SKU-YW-0000053,473,11.62,false
54,South Key 54,Quality key for everyday use.,44.58,30.12,78,SKU-XY-0000054,253,9.88,true
55,Matter Believe 55,Quality believe for everyday use.,20.73,15.84,143,SKU-ZR-0000055,223,9.79,true
56,Matter Report 56,Quality report for everyday use.,177.15,91.77,289,SKU-DC-0000056,44,19.33,true
57,Look Customer 57,Quality customer for everyday use.,15.39,9.66,77,SKU-VH-0000057,338,15.15,true
58,Mean Kitchen 58,Quality kitchen for everyday use.,87.74,45.27,228,SKU-VY-0000058,27,9.99,true
59,Policy Pay 59,Quality pay for everyday use.,364.23,226.45,58,SKU-RU-0000059,421,9.64,true
60,Hard Thank 60,Quality thank for everyday use.,355.79,230.82,271,SKU-GL-0000060,409,0.63,true
61,Be Serious 61,Quality serious for everyday use.,370.85,238.88,11,SKU-ZV-0000061,496,18.86,true
62,Type Push 62,Quality push for everyday use.,162.66,105.63,355,SKU-EY-0000062,142,6.45,true
63,Soon Part 63,Quality part for everyday use.,445.66,202.34,28,SKU-MW-0000063,81,5.19,true
64,Hospital Film 64,Quality film for everyday use.,299.34,202.78,98,SKU-NQ-0000064,150,19.99,true
65,Reach Reach 65,Quality reach for everyday use.,68.25,45.72,88,SKU-DJ-0000065,400,14.40,false
66,Avoid War 66,Quality war for everyday use.,76.99,51.82,416,SKU-TW-0000066,109,1.04,true
67,Now Affect 67,Quality affect for everyday use.,348.38,149.67,27,SKU-CB-0000067,444,1.33,true
68,Yourself Indicate 68,Quality indicate for everyday use.,91.42,52.91,215,SKU-SL-0000068,77,0.61,true
69,Experience Main 69,Quality main for everyday use.,256.59,144.62,296,SKU-WB-0000069,24,12.03,true
70,Which Effect 70,Quality effect for everyday use.,495.93,215.57,258,SKU-JA-0000070,109,1.52,true
71,Short Party 71,Quality party for everyday use.,7.97,3.90,341,SKU-TW-0000071,377,18.67,true
72,Attorney Response 72,Quality response for everyday use.,14.18,8.17,402,SKU-DH-0000072,301,18.74,true
73,Ten Protect 73,Quality protect for everyday use.,496.57,346.19,197,SKU-WA-0000073,177,10.97,true
74,Suddenly Test 74,Quality test for everyday use.,294.80,145.87,415,SKU-YX-0000074,328,12.37,true
75,Send Against 75,Quality against for everyday use.,68.68,50.27,159,SKU-DD-0000075,324,5.91,false
76,Establish Ball 76,Quality ball for everyday use.,449.26,277.79,493,SKU-SA-0000076,277,1.37,true
77,Realize Card 77,Quality card for everyday use.,440.90,310.47,253,SKU-NB-0000077,257,14.78,true
78,Use Also 78,Quality also for everyday use.,270.87,159.55,369,SKU-NJ-0000078,50,2.13,true
79,Around Move 79,Quality move for everyday use.,313.16,187.80,438,SKU-SX-0000079,130,1.80,true
80,Agency Technology 80,Quality technology for everyday use.,140.94,91.31,397,SKU-MR-0000080,264,6.29,true
81,South Single 81,Quality single for everyday use.,30.95,23.87,426,SKU-QZ-0000081,67,0.35,true
82,Although Play 82,Quality play for everyday use.,299.71,178.84,269,SKU-FF-0000082,238,8.74,true
83,People Necessary 83,Quality necessary for everyday use.,151.60,92.70,22,SKU-KT-0000083,58,14.18,true
84,Such To 84,Quality to for everyday use.,333.82,213.91,247,SKU-WG-0000084,394,16.05,false
85,Let Interesting 85,Quality interesting for everyday use.,419.10,291.28,91,SKU-CQ-0000085,51,12.13,true
86,Suffer Peace 86,Quality peace for everyday use.,14.96,6.41,445,SKU-QJ-0000086,46,16.95,true
87,Boy Attorney 87,Quality attorney for everyday use.,300.27,182.05,119,SKU-EW-0000087,319,8.19,false
88,Assume Gas 88,Quality gas for everyday use.,120.24,71.26,115,SKU-WT-0000088,110,16.99,true
89,Else Garden 89,Quality garden for everyday use.,437.69,336.44,125,SKU-PG-0000089,176,10.18,true
90,Have Play 90,Quality play for everyday use.,131.30,78.44,322,SKU-KB-0000090,157,4.54,true
91,Tv Someone 91,Quality someone for everyday use.,307.71,180.73,286,SKU-FL-0000091,108,18.89,true
92,Set Fill 92,Quality fill for everyday use.,279.44,219.33,475,SKU-LB-0000092,381,5.57,true
93,Avoid Natural 93,Quality natural for everyday use.,201.70,117.03,209,SKU-YG-0000093,346,0.62,false
94,Argue Without 94,Quality without for everyday use.,340.73,160.95,142,SKU-NM-0000094,119,4.93,true
95,I Keep 95,Quality keep for everyday use.,364.52,177.44,25,SKU-MW-0000095,344,7.40,true
96,Forward Experience 96,Quality experience for everyday use.,286.06,125.32,4,SKU-TW-0000096,357,7.09,false
97,According Watch 97,Quality watch for everyday use.,380.65,152.35,187,SKU-KG-0000097,270,10.54,false
98,State My 98,Quality my for everyday use.,491.80,281.69,463,SKU-LP-0000098,289,17.67,false
99,Front Without 99,Quality without for everyday use.,213.11,150.82,262,SKU-JM-0000099,468,5.92,true
100,Adult Reach 100,Quality reach for everyday use.,260.19,180.41,447,SKU-DQ-0000100,227,10.46,true
101,News Group 101,Quality group for everyday use.,12.15,5.02,51,SKU-TN-0000101,193,6.87,true
102,Country Least 102,Quality least for everyday use.,399.23,250.71,47,SKU-WZ-0000102,270,16.45,true
103,Sport Old 103,Quality old for everyday use.,262.98,121.42,417,SKU-XC-0000103,418,3.24,true
104,Reality Their 104,Quality their for everyday use.,207.52,161.12,54,SKU-XJ-0000104,355,2.16,true
105,Operation Test 105,Quality test for everyday use.,52.46,24.50,26,SKU-LK-0000105,37,10.11,true
106,Performance Forward 106,Quality forward for everyday use.,445.48,289.85,203,SKU-GX-0000106,230,13.47,true
107,Entire Firm 107,Quality firm for everyday use.,201.12,106.69,463,SKU-RZ-0000107,370,15.93,true
108,Money Imagine 108,Quality imagine for everyday use.,343.19,225.35,345,SKU-YL-0000108,112,11.83,true
109,Body Ball 109,Quality ball for everyday use.,79.78,45.07,50,SKU-TN-0000109,495,15.50,true
110,Those Huge 110,Quality huge for everyday use.,481.00,338.56,419,SKU-MT-0000110,404,7.91,true
111,Involve Every 111,Quality every for everyday use.,94.14,46.34,422,SKU-SX-0000111,424,0.75,true
112,Feel Paper 112,Quality paper for everyday use.,104.56,79.71,401,SKU-UQ-0000112,40,2.41,false
113,Fill War 113,Quality war for everyday use.,430.33,258.23,452,SKU-YC-0000113,290,0.87,true
114,One Control 114,Quality control for everyday use.,456.81,320.88,120,SKU-UK-0000114,264,6.65,false
115,Small Stay 115,Quality stay for everyday use.,110.79,81.97,490,SKU-LU-0000115,314,9.96,true
116,Manager Upon 116,Quality upon for everyday use.,238.07,190.34,161,SKU-GX-0000116,425,7.19,true
117,Easy Hour 117,Quality hour for everyday use.,368.34,180.33,402,SKU-MJ-0000117,176,11.26,true
118,Reduce Play 118,Quality play for everyday use.,439.90,226.44,290,SKU-HL-0000118,267,9.66,true
119,Family Project 119,Quality project for everyday use.,193.24,96.65,390,SKU-YC-0000119,340,13.59,true
120,Interest Value 120,Quality value for everyday use.,261.40,132.05,314,SKU-NW-0000120,377,13.37,true
121,Than Company 121,Quality company for everyday use.,372.40,235.72,322,SKU-MP-0000121,385,6.43,true
122,Country Away 122,Quality away for everyday use.,367.17,292.78,309,SKU-JD-0000122,168,6.99,true
123,According Scientist 123,Quality scientist for everyday use.,392.77,312.69,390,SKU-RY-0000123,500,11.74,true
124,Drop Up 124,Quality up for everyday use.,287.54,175.60,370,SKU-NL-0000124,4,11.97,true
125,Easy Have 125,Quality have for everyday use.,57.67,37.81,68,SKU-DY-0000125,246,6.36,true
126,Live Value 126,Quality value for everyday use.,452.55,336.69,414,SKU-WX-0000126,304,6.67,true
127,By Although 127,Quality although for everyday use.,433.58,335.23,269,SKU-JR-0000127,30,13.91,true
128,Hold Surface 128,Quality surface for everyday use.,400.25,192.74,162,SKU-LF-0000128,226,12.98,true
129,Number Economic 129,Quality economic for everyday use.,55.32,33.82,258,SKU-EK-0000129,298,2.79,true
130,Benefit Simple 130,Quality simple for everyday use.,106.96,78.42,484,SKU-PC-0000130,304,8.88,true
131,Management Style 131,Quality style for everyday use.,373.33,194.61,429,SKU-SL-0000131,59,17.86,true
132,Drive Yeah 132,Quality yeah for everyday use.,17.42,10.03,417,SKU-XG-0000132,139,0.82,true
133,Remain Offer 133,Quality offer for everyday use.,489.73,388.97,232,SKU-BH-0000133,122,17.12,true
134,Protect What 134,Quality what for everyday use.,192.30,152.69,393,SKU-ZH-0000134,320,3.35,true
135,Reach Term 135,Quality term for everyday use.,361.33,275.49,193,SKU-SW-0000135,164,10.19,true
136,Pretty Explain 136,Quality explain for everyday use.,444.45,319.73,344,SKU-GR-0000136,286,8.54,true
137,Watch Teacher 137,Quality teacher for everyday use.,200.94,102.01,320,SKU-EJ-0000137,366,0.30,true
138,Physical If 138,Quality if for everyday use.,163.64,86.46,125,SKU-HS-0000138,399,18.32,true
139,Peace Player 139,Quality player for everyday use.,306.71,189.83,134,SKU-XG-0000139,92,9.15,true
140,People Under 140,Quality under for everyday use.,293.00,182.92,31,SKU-GV-0000140,452,19.09,false
141,One Mention 141,Quality mention for everyday use.,208.11,125.32,70,SKU-MN-0000141,83,5.81,true
142,Small Push 142,Quality push for everyday use.,303.27,198.54,217,SKU-SD-0000142,10,17.34,true
143,Position Word 143,Quality word for everyday use.,468.07,263.68,239,SKU-WJ-0000143,22,18.46,true
144,Interesting Worry 144,Quality worry for everyday use.,237.00,165.82,83,SKU-RL-0000144,100,11.18,true
145,Child Evidence 145,Quality evidence for everyday use.,103.18,55.04,209,SKU-UQ-0000145,437,4.13,true
146,None Manager 146,Quality manager for everyday use.,192.33,102.37,303,SKU-EE-0000146,104,13.74,true
147,Reduce Movement 147,Quality movement for everyday use.,200.68,90.48,117,SKU-XN-0000147,347,11.02,true
148,Parent American 148,Quality american for everyday use.,70.76,33.65,170,SKU-GD-0000148,209,18.90,true
149,Year Or 149,Quality or for everyday use.,86.45,63.99,184,SKU-DY-0000149,20,8.84,true
150,Name Study 150,Quality study for everyday use.,344.16,199.10,253,SKU-ZK-0000150,222,5.44,true
151,Center Main 151,Quality main for everyday use.,173.69,85.31,184,SKU-EL-0000151,14,2.85,true
152,Night Degree 152,Quality degree for everyday use.,477.71,336.18,369,SKU-DP-0000152,238,14.00,true
153,Company Past 153,Quality past for everyday use.,126.33,78.53,164,SKU-RZ-0000153,279,19.48,true
154,Oil Try 154,Quality try for everyday use.,54.86,22.41,217,SKU-HE-0000154,261,0.66,true
155,Soldier Bring 155,Quality bring for everyday use.,378.22,199.15,190,SKU-DK-0000155,141,14.83,true
156,True Movement 156,Quality movement for everyday use.,441.22,207.73,92,SKU-QB-0000156,384,18.55,true
157,Suddenly Indicate 157,Quality indicate for everyday use.,143.38,94.97,343,SKU-UM-0000157,298,1.59,true
158,Control Especially 158,Quality especially for everyday use.,105.82,53.97,118,SKU-VM-0000158,127,2.29,true
159,Those School 159,Quality school for everyday use.,97.76,41.64,149,SKU-DA-0000159,217,13.87,true
160,Only Kind 160,Quality kind for everyday use.,263.86,111.34,397,SKU-PN-0000160,54,12.99,true
161,Challenge Rich 161,Quality rich for everyday use.,237.39,150.19,475,SKU-VX-0000161,462,1.47,true
162,Process Answer 162,Quality answer for everyday use.,134.15,54.83,336,SKU-DH-0000162,377,16.71,true
163,Garden Range 163,Quality range for everyday use.,28.31,20.94,459,SKU-EC-0000163,144,10.52,false
164,Cultural Let 164,Quality let for everyday use.,243.85,112.70,428,SKU-AB-0000164,338,18.15,true
165,Scene South 165,Quality south for everyday use.,479.90,308.40,241,SKU-ND-0000165,340,17.57,true
166,Service Require 166,Quality require for everyday use.,328.33,189.73,386,SKU-EC-0000166,305,16.27,true
167,Very Wide 167,Quality wide for everyday use.,250.77,144.73,165,SKU-TR-0000167,27,10.37,true
168,School Ball 168,Quality ball for everyday use.,60.67,26.01,231,SKU-ZC-0000168,440,5.11,true
169,Stuff Field 169,Quality field for everyday use.,130.69,94.24,268,SKU-FL-0000169,478,10.17,true
170,Reduce Teacher 170,Quality teacher for everyday use.,151.61,114.80,481,SKU-RD-0000170,488,2.11,true
171,Join Usually 171,Quality usually for everyday use.,383.80,155.21,425,SKU-FL-0000171,491,13.21,true
172,Work Education 172,Quality education for everyday use.,439.09,207.01,245,SKU-AK-0000172,465,2.77,false
173,Concern Way 173,Quality way for everyday use.,451.40,343.77,327,SKU-UN-0000173,370,10.27,true
174,Many Type 174,Quality type for everyday use.,492.37,305.17,102,SKU-LM-0000174,28,1.18,true
175,Since Design 175,Quality design for everyday use.,491.28,226.00,403,SKU-YN-0000175,233,6.06,true
176,They Exactly 176,Quality exactly for everyday use.,476.77,229.38,277,SKU-NY-0000176,122,4.72,true
177,Many Try 177,Quality try for everyday use.,41.47,27.54,267,SKU-DC-0000177,110,12.44,true
178,Federal Discuss 178,Quality discuss for everyday use.,74.06,51.10,384,SKU-LH-0000178,416,15.76,false
179,Staff Management 179,Quality management for everyday use.,156.40,100.06,317,SKU-EC-0000179,407,1.24,false
180,Concern Life 180,Quality life for everyday use.,279.12,218.07,37,SKU-XQ-0000180,261,17.02,true
181,Employee Your 181,Quality your for everyday use.,53.90,32.21,145,SKU-SC-0000181,368,17.23,true
182,Tree Be 182,Quality be for everyday use.,423.81,220.43,89,SKU-JQ-0000182,64,6.91,true
183,Outside Pay 183,Quality pay for everyday use.,310.67,183.57,368,SKU-NS-0000183,111,13.21,true
184,Draw Guy 184,Quality guy for everyday use.,273.92,148.98,18,SKU-SK-0000184,431,8.11,true
185,Use Pattern 185,Quality pattern for everyday use.,87.65,42.93,102,SKU-UG-0000185,226,3.17,true
186,Future Fish 186,Quality fish for everyday use.,131.10,54.85,299,SKU-BX-0000186,273,10.62,true
187,Room Sport 187,Quality sport for everyday use.,85.18,46.07,348,SKU-AG-0000187,231,1.82,true
188,Media Especially 188,Quality especially for everyday use.,426.84,292.20,252,SKU-CF-0000188,101,17.58,true
189,Interview You 189,Quality you for everyday use.,294.60,120.01,431,SKU-KD-0000189,414,18.49,true
190,Best Happen 190,Quality happen for everyday use.,369.14,212.50,460,SKU-MY-0000190,379,16.45,false
191,Upon Spring 191,Quality spring for everyday use.,152.23,100.11,67,SKU-DY-0000191,342,11.29,true
192,Story Morning 192,Quality morning for everyday use.,189.39,122.00,477,SKU-KQ-0000192,176,11.20,true
193,Decision Professor 193,Quality professor for everyday use.,205.99,146.39,308,SKU-LH-0000193,322,19.69,true
194,Author Natural 194,Quality natural for everyday use.,381.44,276.24,319,SKU-CQ-0000194,477,5.03,true
195,Range Threat 195,Quality threat for everyday use.,387.53,265.33,48,SKU-XN-0000195,325,1.61,true
196,Wide Article 196,Quality article for everyday use.,108.16,47.71,311,SKU-QR-0000196,247,11.28,true
197,Teach Technology 197,Quality technology for everyday use.,471.11,277.96,363,SKU-KC-0000197,135,6.64,true
198,Stop Rest 198,Quality rest for everyday use.,65.59,42.07,291,SKU-NW-0000198,261,6.51,true
199,To Type 199,Quality type for everyday use.,448.67,223.54,43,SKU-HW-0000199,186,0.24,true
200,Fact Condition 200,Quality condition for everyday use.,55.59,23.18,262,SKU-WF-0000200,306,11.97,true
201,Another Suggest 201,Quality suggest for everyday use.,136.67,66.89,468,SKU-PT-0000201,22,5.35,false
202,Cup Behind 202,Quality behind for everyday use.,424.15,246.84,362,SKU-MS-0000202,95,3.84,true
203,Yeah Relate 203,Quality relate for everyday use.,94.66,53.54,69,SKU-XR-0000203,394,0.90,true
204,Beautiful Group 204,Quality group for everyday use.,210.29,98.98,480,SKU-WV-0000204,190,7.35,true
205,Mission Sport 205,Quality sport for everyday use.,228.22,166.55,480,SKU-VW-0000205,216,17.59,true
206,Development Boy 206,Quality boy for everyday use.,127.15,97.94,85,SKU-FA-0000206,272,6.80,true
207,Know Least 207,Quality least for everyday use.,356.85,171.48,401,SKU-DF-0000207,219,13.61,true
208,Color Kitchen 208,Quality kitchen for everyday use.,426.55,329.22,204,SKU-SN-0000208,380,15.16,true
209,Game Worry 209,Quality worry for everyday use.,438.03,178.34,297,SKU-MA-0000209,122,6.63,true
210,Research Stand 210,Quality stand for everyday use.,173.62,133.68,223,SKU-SJ-0000210,379,16.45,false
211,Pattern Cost 211,Quality cost for everyday use.,268.23,209.43,392,SKU-UC-0000211,104,13.87,true
212,Relate Move 212,Quality move for everyday use.,128.70,52.10,499,SKU-HB-0000212,185,11.23,true
213,Special Avoid 213,Quality avoid for everyday use.,126.92,89.50,398,SKU-GY-0000213,294,0.12,true
214,Professor Knowledge 214,Quality knowledge for everyday use.,85.65,67.50,466,SKU-ML-0000214,443,0.80,true
215,Move Those 215,Quality those for everyday use.,470.36,358.58,474,SKU-GG-0000215,116,19.82,true
216,Network Reach 216,Quality reach for everyday use.,444.66,350.52,46,SKU-SZ-0000216,294,15.67,true
217,Across Catch 217,Quality catch for everyday use.,390.01,241.86,127,SKU-TT-0000217,32,18.76,true
218,Beyond Against 218,Quality against for everyday use.,261.71,112.87,361,SKU-MC-0000218,37,18.06,true
219,Buy Move 219,Quality move for everyday use.,248.35,183.76,296,SKU-TV-0000219,384,0.51,false
220,Only High 220,Quality high for everyday use.,267.68,172.80,26,SKU-NC-0000220,360,15.86,true
221,House Expert 221,Quality expert for everyday use.,271.05,175.07,48,SKU-TY-0000221,188,9.08,true
222,Wife Meet 222,Quality meet for everyday use.,220.66,125.09,261,SKU-FD-0000222,312,15.81,true
223,Artist Interesting 223,Quality interesting for everyday use.,71.08,44.69,309,SKU-TH-0000223,190,0.23,true
224,Attention Mr 224,Quality mr for everyday use.,68.07,31.41,84,SKU-TS-0000224,138,5.84,true
225,Live Very 225,Quality very for everyday use.,476.40,331.53,86,SKU-GB-0000225,216,15.05,true
226,Site Move 226,Quality move for everyday use.,244.11,104.97,65,SKU-PK-0000226,156,15.88,true
227,Hospital View 227,Quality view for everyday use.,476.87,329.95,283,SKU-WJ-0000227,408,12.43,true
228,Production Agency 228,Quality agency for everyday use.,86.80,64.20,4,SKU-FW-0000228,206,6.09,true
229,Couple Civil 229,Quality civil for everyday use.,279.87,164.84,287,SKU-TQ-0000229,160,6.28,true
230,Paper Degree 230,Quality degree for everyday use.,108.60,65.59,238,SKU-YU-0000230,268,19.34,true
231,Receive Those 231,Quality those for everyday use.,131.06,68.79,233,SKU-WV-0000231,379,8.84,true
232,Model Bit 232,Quality bit for everyday use.,20.84,16.42,340,SKU-KB-0000232,137,9.00,true
233,Big Although 233,Quality although for everyday use.,64.75,44.89,262,SKU-QU-0000233,470,11.09,true
234,Wear War 234,Quality war for everyday use.,458.91,251.30,364,SKU-ZS-0000234,232,8.25,false
235,Avoid House 235,Quality house for everyday use.,164.83,77.46,382,SKU-PP-0000235,331,11.10,true
236,Matter Sister 236,Quality sister for everyday use.,306.41,149.48,461,SKU-CA-0000236,479,8.70,true
237,Hand Word 237,Quality word for everyday use.,235.71,138.02,400,SKU-BX-0000237,216,16.55,true
238,Situation Option 238,Quality option for everyday use.,203.81,158.37,259,SKU-UG-0000238,100,18.19,true
239,Floor According 239,Quality according for everyday use.,268.74,186.41,247,SKU-LM-0000239,374,18.65,true
240,Seek Reason 240,Quality reason for everyday use.,98.49,47.88,118,SKU-FL-0000240,3,11.33,true
241,Old Hundred 241,Quality hundred for everyday use.,494.36,367.72,300,SKU-JS-0000241,229,8.90,true
242,Page The 242,Quality the for everyday use.,410.23,226.15,70,SKU-UC-0000242,490,14.13,true
243,Manager Including 243,Quality including for everyday use.,372.35,275.80,466,SKU-MZ-0000243,207,16.78,true
244,Wish Treatment 244,Quality treatment for everyday use.,237.56,117.99,423,SKU-WV-0000244,342,11.30,true
245,Organization Tell 245,Quality tell for everyday use.,81.51,52.77,60,SKU-TA-0000245,263,14.03,true
246,Keep Seek 246,Quality seek for everyday use.,460.80,355.12,393,SKU-ZT-0000246,107,15.02,true
247,Address Rise 247,Quality rise for everyday use.,174.64,87.87,59,SKU-XX-0000247,159,13.56,true
248,Rich Support 248,Quality support for everyday use.,30.74,20.82,361,SKU-GA-0000248,262,14.95,true
249,Before Quickly 249,Quality quickly for everyday use.,175.14,139.22,44,SKU-RM-0000249,52,4.25,true
250,Case Small 250,Quality small for everyday use.,398.45,183.38,245,SKU-AG-0000250,207,10.02,true
251,Rest Page 251,Quality page for everyday use.,313.61,136.53,329,SKU-ZJ-0000251,207,11.81,true
252,Senior Central 252,Quality central for everyday use.,376.90,252.40,365,SKU-GR-0000252,418,0.15,true
253,Too Sport 253,Quality sport for everyday use.,398.05,213.31,210,SKU-RH-0000253,62,17.13,true
254,Citizen Hot 254,Quality hot for everyday use.,110.70,47.43,461,SKU-WP-0000254,422,12.24,true
255,Senior Part 255,Quality part for everyday use.,462.34,272.84,388,SKU-DH-0000255,205,2.67,true
256,Only Recent 256,Quality recent for everyday use.,222.36,155.99,105,SKU-WC-0000256,326,16.35,true
257,I Claim 257,Quality claim for everyday use.,321.66,165.35,336,SKU-AR-0000257,279,14.37,true
258,Those Fall 258,Quality fall for everyday use.,7.13,3.81,366,SKU-LG-0000258,150,15.19,true
259,Stand Mean 259,Quality mean for everyday use.,496.71,366.71,167,SKU-ME-0000259,466,7.90,true
260,View Personal 260,Quality personal for everyday use.,144.75,88.01,370,SKU-JF-0000260,112,17.10,true
261,Many Where 261,Quality where for everyday use.,36.65,27.01,450,SKU-QS-0000261,18,8.34,false
262,Event Upon 262,Quality upon for everyday use.,232.37,134.44,409,SKU-XB-0000262,375,11.45,true
263,Join Challenge 263,Quality challenge for everyday use.,69.73,54.47,382,SKU-HG-0000263,311,0.11,true
264,Be Image 264,Quality image for everyday use.,81.24,53.64,318,SKU-PN-0000264,446,12.93,true
265,Lay Road 265,Quality road for everyday use.,318.34,142.09,136,SKU-XY-0000265,229,14.39,true
266,Major Clearly 266,Quality clearly for everyday use.,200.10,150.88,398,SKU-UE-0000266,8,11.39,true
267,Tell Drop 267,Quality drop for everyday use.,461.39,274.85,183,SKU-AX-0000267,10,9.98,true
268,Mr Impact 268,Quality impact for everyday use.,163.65,74.73,267,SKU-YG-0000268,217,16.22,true
269,Benefit Sometimes 269,Quality sometimes for everyday use.,364.72,168.16,158,SKU-BS-0000269,125,13.66,true
270,Professor Need 270,Quality need for everyday use.,233.77,157.80,157,SKU-QX-0000270,462,5.63,true
271,Couple Share 271,Quality share for everyday use.,332.01,139.10,79,SKU-PU-0000271,59,19.19,true
272,Her Child 272,Quality child for everyday use.,302.24,155.54,481,SKU-UA-0000272,441,14.17,true
