order_item_id,order_id,order_date,product_id,quantity,price,discount,total
36,8,2026-05-24T20:17:45,224,1,69.63,6.96,62.67
37,8,2026-05-24T20:17:45,541,2,177.70,0.00,355.40
38,8,2026-05-24T20:17:45,704,3,37.33,0.00,111.99
39,9,2025-03-19T22:24:18,11,1,133.13,0.00,133.13
40,9,2025-03-19T22:24:18,633,4,208.62,0.00,834.48
41,9,2025-03-19T22:24:18,266,2,208.02,0.00,416.04
42,10,2025-10-23T01:08:52,735,1,252.60,0.00,252.60
43,11,2024-09-19T22:38:53,891,1,249.51,0.00,249.51
44,11,2024-09-19T22:38:53,354,1,139.45,20.92,118.53
45,11,2024-09-19T22:38:53,249,1,169.43,0.00,169.43
46,11,2024-09-19T22:38:53,405,1,208.19,0.00,208.19
47,11,2024-09-19T22:38:53,28,1,21.89,3.28,18.61
48,12,2026-04-10T23:30:39,256,1,226.68,0.00,226.68
49,12,2026-04-10T23:30:39,232,3,21.65,0.00,64.95
50,12,2026-04-10T23:30:39,26,1,10.96,0.00,10.96
51,12,2026-04-10T23:30:39,757,1,449.91,0.00,449.91
52,12,2026-04-10T23:30:39,466,1,30.04,0.00,30.04
53,13,2026-06-26T17:25:57,860,2,142.93,0.00,285.86
54,13,2026-06-26T17:25:57,291,1,270.65,0.00,270.65
55,13,2026-06-26T17:25:57,286,1,154.59,0.00,154.59
56,13,2026-06-26T17:25:57,432,2,363.54,0.00,727.08
57,14,2026-06-08T04:51:20,233,1,61.80,0.00,61.80
58,14,2026-06-08T04:51:20,761,1,348.93,0.00,348.93
59,14,2026-06-08T04:51:20,838,1,414.37,0.00,414.37
60,15,2024-06-07T14:25:56,678,3,280.73,0.00,842.19
61,15,2024-06-07T14:25:56,197,1,452.68,22.63,430.05
62,15,2024-06-07T14:25:56,777,1,63.35,3.17,60.18
63,16,2026-04-23T00:26:21,364,1,435.45,21.77,413.68
64,16,2026-04-23T00:26:21,984,1,295.93,0.00,295.93
65,16,2026-04-23T00:26:21,381,1,340.45,0.00,340.45
66,17,2026-06-28T11:11:57,601,1,54.22,0.00,54.22
67,17,2026-06-28T11:11:57,397,3,233.65,0.00,700.95
68,17,2026-06-28T11:11:57,879,1,489.87,0.00,489.87
69,17,2026-06-28T11:11:57,76,1,433.76,0.00,433.76
70,18,2026-04-14T19:09:17,981,1,17.78,0.00,17.78
71,18,2026-04-14T19:09:17,844,1,144.21,7.21,137.00
72,18,2026-04-14T19:09:17,36,1,438.78,0.00,438.78
73,18,2026-04-14T19:09:17,216,2,446.04,0.00,892.08
74,18,2026-04-14T19:09:17,330,2,200.23,0.00,400.46
75,18,2026-04-14T19:09:17,367,2,63.32,6.33,120.31
76,18,2026-04-14T19:09:17,587,1,199.63,9.98,189.65
77,18,2026-04-14T19:09:17,638,3,423.14,126.94,1142.48
78,19,2026-03-19T02:07:43,173,1,438.83,0.00,438.83
79,19,2026-03-19T02:07:43,804,1,96.07,0.00,96.07
80,19,2026-03-19T02:07:43,4,1,6.61,0.00,6.61
81,19,2026-03-19T02:07:43,588,3,288.73,86.62,779.57
82,19,2026-03-19T02:07:43,749,1,446.42,0.00,446.42
83,19,2026-03-19T02:07:43,362,1,163.93,0.00,163.93
84,20,2025-08-09T08:11:16,415,5,260.70,0.00,1303.50
85,20,2025-08-09T08:11:16,6,1,251.18,50.24,200.94
86,20,2025-08-09T08:11:16,142,3,300.48,0.00,901.44
87,20,2025-08-09T08:11:16,496,2,52.56,0.00,105.12
88,20,2025-08-09T08:11:16,122,1,381.52,0.00,381.52
89,21,2026-05-25T15:58:43,563,1,385.95,0.00,385.95
90,21,2026-05-25T15:58:43,909,1,471.59,0.00,471.59
91,21,2026-05-25T15:58:43,360,1,89.61,0.00,89.61
92,21,2026-05-25T15:58:43,708,3,277.39,0.00,832.17
93,22,2026-04-14T02:00:46,630,1,178.17,0.00,178.17
94,22,2026-04-14T02:00:46,736,1,246.82,0.00,246.82
95,22,2026-04-14T02:00:46,788,1,235.29,0.00,235.29
96,22,2026-04-14T02:00:46,706,1,274.38,0.00,274.38
97,22,2026-04-14T02:00:46,36,1,429.96,43.00,386.96
98,23,2026-03-04T04:44:42,805,1,234.76,0.00,234.76
99,23,2026-03-04T04:44:42,812,3,217.11,0.00,651.33
100,23,2026-03-04T04:44:42,400,1,337.31,67.46,269.85
101,23,2026-03-04T04:44:42,591,1,382.84,0.00,382.84
102,24,2025-03-29T08:05:04,823,1,467.38,46.74,420.64
103,24,2025-03-29T08:05:04,326,1,503.12,50.31,452.81
104,24,2025-03-29T08:05:04,170,1,158.74,23.81,134.93
105,24,2025-03-29T08:05:04,694,2,87.49,0.00,174.98
106,24,2025-03-29T08:05:04,324,1,324.04,0.00,324.04
107,24,2025-03-29T08:05:04,704,3,36.41,5.46,103.77
108,25,2026-06-13T13:18:02,405,2,219.06,21.91,416.21
109,25,2026-06-13T13:18:02,758,1,322.13,0.00,322.13
110,25,2026-06-13T13:18:02,177,1,41.58,4.16,37.42
111,25,2026-06-13T13:18:02,413,1,54.78,0.00,54.78
112,26,2023-04-02T13:27:08,544,1,322.56,0.00,322.56
113,26,2023-04-02T13:27:08,577,2,286.41,0.00,572.82
114,26,2023-04-02T13:27:08,840,2,441.80,0.00,883.60
115,27,2026-01-04T11:44:37,477,1,165.81,0.00,165.81
116,27,2026-01-04T11:44:37,997,1,449.67,0.00,449.67
117,27,2026-01-04T11:44:37,364,1,430.48,0.00,430.48
118,27,2026-01-04T11:44:37,831,1,210.65,0.00,210.65
119,28,2024-05-28T17:52:02,130,1,103.12,0.00,103.12
120,28,2024-05-28T17:52:02,476,1,268.33,0.00,268.33
121,28,2024-05-28T17:52:02,920,3,24.51,0.00,73.53
122,29,2025-12-24T01:18:31,934,1,67.42,0.00,67.42
123,29,2025-12-24T01:18:31,128,1,401.10,0.00,401.10
124,29,2025-12-24T01:18:31,334,1,465.56,0.00,465.56
125,29,2025-12-24T01:18:31,649,1,449.88,0.00,449.88
126,30,2025-12-29T03:07:35,50,1,310.36,0.00,310.36
127,30,2025-12-29T03:07:35,400,4,328.62,0.00,1314.48
128,30,2025-12-29T03:07:35,923,3,410.18,0.00,1230.54
129,30,2025-12-29T03:07:35,822,1,308.39,0.00,308.39
130,30,2025-12-29T03:07:35,489,1,480.38,24.02,456.36
131,30,2025-12-29T03:07:35,472,3,402.25,0.00,1206.75
132,31,2026-01-20T05:00:55,353,1,154.20,7.71,146.49
133,31,2026-01-20T05:00:55,187,1,84.61,0.00,84.61
134,31,2026-01-20T05:00:55,692,1,305.96,0.00,305.96
135,31,2026-01-20T05:00:55,151,1,168.47,0.00,168.47
136,31,2026-01-20T05:00:55,746,1,32.22,0.00,32.22
137,32,2026-03-17T22:39:19,392,1,271.21,27.12,244.09
138,32,2026-03-17T22:39:19,796,3,247.82,0.00,743.46
139,32,2026-03-17T22:39:19,535,1,70.47,3.52,66.95
140,33,2026-06-29T06:55:07,964,2,323.81,0.00,647.62
141,33,2026-06-29T06:55:07,630,1,174.84,0.00,174.84
142,33,2026-06-29T06:55:07,921,1,87.97,0.00,87.97
143,33,2026-06-29T06:55:07,849,4,146.68,0.00,586.72
144,33,2026-06-29T06:55:07,732,5,98.44,0.00,492.20
145,34,2023-04-26T17:51:34,375,1,506.01,0.00,506.01
146,34,2023-04-26T17:51:34,61,5,369.95,184.98,1664.77
147,35,2024-05-23T05:00:14,782,5,278.47,0.00,1392.35
148,35,2024-05-23T05:00:14,610,1,65.77,0.00,65.77
149,35,2024-05-23T05:00:14,225,1,468.11,93.62,374.49
150,35,2024-05-23T05:00:14,63,1,446.67,0.00,446.67
151,35,2024-05-23T05:00:14,879,1,498.83,24.94,473.89
152,36,2025-01-25T18:08:45,554,1,161.40,0.00,161.40
153,36,2025-01-25T18:08:45,98,1,503.05,0.00,503.05
154,36,2025-01-25T18:08:45,867,3,493.19,0.00,1479.57
155,37,2025-09-18T17:44:05,804,1,95.02,0.00,95.02
156,37,2025-09-18T17:44:05,454,2,490.90,0.00,981.80
157,37,2025-09-18T17:44:05,269,4,376.37,0.00,1505.48
158,37,2025-09-18T17:44:05,209,1,432.70,0.00,432.70
159,37,2025-09-18T17:44:05,657,2,276.21,0.00,552.42
160,38,2025-06-12T10:28:58,249,1,178.82,0.00,178.82
161,38,2025-06-12T10:28:58,544,1,311.98,0.00,311.98
162,38,2025-06-12T10:28:58,19,2,30.49,0.00,60.98
163,38,2025-06-12T10:28:58,579,1,361.50,0.00,361.50
164,38,2025-06-12T10:28:58,378,1,389.75,0.00,389.75
165,38,2025-06-12T10:28:58,981,1,18.22,0.00,18.22
166,39,2023-03-27T04:39:42,678,1,273.30,0.00,273.30
167,39,2023-03-27T04:39:42,599,1,445.14,0.00,445.14
168,40,2026-06-27T22:18:04,446,3,424.49,127.35,1146.12
169,40,2026-06-27T22:18:04,216,4,453.45,0.00,1813.80
170,40,2026-06-27T22:18:04,730,1,86.97,0.00,86.97
171,40,2026-06-27T22:18:04,411,2,75.59,0.00,151.18
172,40,2026-06-27T22:18:04,159,1,98.30,0.00,98.30
173,41,2025-11-29T00:42:18,97,2,397.08,0.00,794.16
174,41,2025-11-29T00:42:18,568,1,320.79,0.00,320.79
175,41,2025-11-29T00:42:18,336,1,164.32,0.00,164.32
176,41,2025-11-29T00:42:18,47,1,391.85,0.00,391.85
177,41,2025-11-29T00:42:18,293,2,248.99,0.00,497.98
178,42,2025-12-31T06:10:25,997,1,452.00,67.80,384.20
179,42,2025-12-31T06:10:25,644,3,499.19,74.88,1422.69
180,42,2025-12-31T06:10:25,121,1,376.16,0.00,376.16
181,42,2025-12-31T06:10:25,914,1,70.07,0.00,70.07
182,42,2025-12-31T06:10:25,986,1,31.71,3.17,28.54
183,43,2026-02-07T12:14:30,282,1,370.79,0.00,370.79
184,43,2026-02-07T12:14:30,479,1,347.86,0.00,347.86
185,43,2026-02-07T12:14:30,848,1,268.68,53.74,214.94
186,43,2026-02-07T12:14:30,487,1,231.82,0.00,231.82
187,43,2026-02-07T12:14:30,877,5,7.85,3.93,35.32
188,43,2026-02-07T12:14:30,550,2,288.79,0.00,577.58
189,43,2026-02-07T12:14:30,633,1,213.85,0.00,213.85
190,43,2026-02-07T12:14:30,815,2,122.67,0.00,245.34
191,44,2025-05-02T09:29:43,699,1,478.53,0.00,478.53
192,44,2025-05-02T09:29:43,33,1,293.87,0.00,293.87
193,44,2025-05-02T09:29:43,799,4,428.54,0.00,1714.16
194,44,2025-05-02T09:29:43,82,4,296.07,177.64,1006.64
195,45,2025-05-17T01:31:15,373,3,297.21,44.58,847.05
196,45,2025-05-17T01:31:15,21,1,370.24,0.00,370.24
197,46,2026-05-04T18:27:17,987,2,185.48,0.00,370.96
198,46,2026-05-04T18:27:17,622,1,192.40,0.00,192.40
199,46,2026-05-04T18:27:17,382,1,58.39,0.00,58.39
200,46,2026-05-04T18:27:17,846,1,460.47,0.00,460.47
201,46,2026-05-04T18:27:17,85,1,419.20,0.00,419.20
202,47,2026-04-30T06:22:06,232,1,20.20,3.03,17.17
203,47,2026-04-30T06:22:06,733,1,59.17,0.00,59.17
204,47,2026-04-30T06:22:06,920,1,23.39,0.00,23.39
205,47,2026-04-30T06:22:06,335,2,408.07,0.00,816.14
206,48,2026-06-29T05:43:45,683,1,222.50,0.00,222.50
207,48,2026-06-29T05:43:45,28,1,21.24,0.00,21.24
208,48,2026-06-29T05:43:45,233,4,66.73,13.35,253.57
209,48,2026-06-29T05:43:45,180,4,280.28,0.00,1121.12
210,48,2026-06-29T05:43:45,499,2,94.57,0.00,189.14
211,48,2026-06-29T05:43:45,370,1,97.72,0.00,97.72
212,49,2026-01-27T00:46:03,94,1,334.57,0.00,334.57
213,49,2026-01-27T00:46:03,213,1,132.37,0.00,132.37
214,49,2026-01-27T00:46:03,90,2,134.45,0.00,268.90
215,49,2026-01-27T00:46:03,137,2,208.87,0.00,417.74
216,49,2026-01-27T00:46:03,662,1,37.61,0.00,37.61
217,49,2026-01-27T00:46:03,163,1,27.52,0.00,27.52
218,50,2026-03-10T05:59:58,61,1,381.20,38.12,343.08
219,50,2026-03-10T05:59:58,627,1,112.13,0.00,112.13
220,50,2026-03-10T05:59:58,746,1,30.69,0.00,30.69
221,50,2026-03-10T05:59:58,129,2,56.87,0.00,113.74
222,50,2026-03-10T05:59:58,367,3,63.64,0.00,190.92
223,51,2025-07-20T20:27:53,784,1,377.85,0.00,377.85
224,51,2025-07-20T20:27:53,152,3,470.59,0.00,1411.77
225,51,2025-07-20T20:27:53,842,3,156.48,0.00,469.44
226,51,2025-07-20T20:27:53,611,1,389.32,0.00,389.32
227,52,2026-06-06T12:12:46,724,1,162.36,0.00,162.36
228,52,2026-06-06T12:12:46,834,1,433.95,0.00,433.95
229,52,2026-06-06T12:12:46,246,2,473.14,47.31,898.97
230,52,2026-06-06T12:12:46,236,1,300.20,0.00,300.20
231,53,2026-06-23T12:11:08,577,2,297.96,29.80,566.12
232,53,2026-06-23T12:11:08,787,1,188.51,0.00,188.51
233,53,2026-06-23T12:11:08,62,1,167.55,0.00,167.55
234,53,2026-06-23T12:11:08,610,2,63.21,0.00,126.42
235,53,2026-06-23T12:11:08,943,1,370.73,0.00,370.73
236,53,2026-06-23T12:11:08,617,1,271.51,0.00,271.51
237,53,2026-06-23T12:11:08,8,2,211.34,0.00,422.68
238,54,2025-09-21T23:47:04,164,1,247.69,37.15,210.54
239,54,2025-09-21T23:47:04,222,1,219.82,0.00,219.82
240,54,2025-09-21T23:47:04,380,3,460.32,0.00,1380.96
241,54,2025-09-21T23:47:04,83,3,155.28,0.00,465.84
242,55,2026-06-29T16:41:51,793,1,281.29,0.00,281.29
243,55,2026-06-29T16:41:51,995,1,450.93,0.00,450.93
244,55,2026-06-29T16:41:51,380,1,459.72,0.00,459.72
245,55,2026-06-29T16:41:51,41,1,137.45,0.00,137.45
246,56,2026-05-31T01:41:09,655,1,403.11,0.00,403.11
247,56,2026-05-31T01:41:09,2,1,61.36,0.00,61.36
248,56,2026-05-31T01:41:09,351,5,127.28,0.00,636.40
249,56,2026-05-31T01:41:09,101,1,12.12,0.00,12.12
250,56,2026-05-31T01:41:09,634,4,415.60,0.00,1662.40
251,57,2026-04-06T08:37:54,882,1,260.57,0.00,260.57
252,57,2026-04-06T08:37:54,380,1,426.57,0.00,426.57
253,58,2024-05-09T14:17:30,401,1,181.03,0.00,181.03
254,58,2024-05-09T14:17:30,516,1,408.33,20.42,387.91
255,58,2024-05-09T14:17:30,945,1,66.35,0.00,66.35
256,58,2024-05-09T14:17:30,679,1,429.81,0.00,429.81
257,58,2024-05-09T14:17:30,960,1,378.13,18.91,359.22
258,59,2026-06-04T23:08:08,307,2,100.74,10.07,191.41
259,60,2026-06-18T19:40:12,727,1,224.11,0.00,224.11
260,60,2026-06-18T19:40:12,943,1,388.98,58.35,330.63
261,60,2026-06-18T19:40:12,169,1,135.94,0.00,135.94
262,60,2026-06-18T19:40:12,428,2,271.40,54.28,488.52
263,60,2026-06-18T19:40:12,972,1,186.90,0.00,186.90
264,60,2026-06-18T19:40:12,521,1,28.08,0.00,28.08
265,60,2026-06-18T19:40:12,439,3,114.69,0.00,344.07
266,60,2026-06-18T19:40:12,619,3,335.10,0.00,1005.30
267,61,2025-06-28T08:49:59,465,3,18.65,0.00,55.95
268,61,2025-06-28T08:49:59,492,1,305.83,0.00,305.83
269,61,2025-06-28T08:49:59,637,2,329.12,0.00,658.24
270,61,2025-06-28T08:49:59,184,1,271.11,13.56,257.55
271,62,2026-06-20T03:51:17,717,2,120.88,0.00,241.76
272,62,2026-06-20T03:51:17,815,1,124.20,0.00,124.20
273,63,2026-06-28T23:53:03,963,1,175.68,0.00,175.68
274,63,2026-06-28T23:53:03,759,1,179.91,0.00,179.91
275,63,2026-06-28T23:53:03,971,1,389.81,0.00,389.81
276,63,2026-06-28T23:53:03,519,1,273.44,0.00,273.44
277,63,2026-06-28T23:53:03,414,1,82.43,0.00,82.43
278,63,2026-06-28T23:53:03,696,3,464.58,0.00,1393.74
279,64,2024-09-10T17:43:48,143,3,458.13,0.00,1374.39
280,64,2024-09-10T17:43:48,429,2,419.68,0.00,839.36
281,64,2024-09-10T17:43:48,916,1,201.02,20.10,180.92
282,64,2024-09-10T17:43:48,18,2,452.51,0.00,905.02
283,64,2024-09-10T17:43:48,119,3,199.04,0.00,597.12
284,64,2024-09-10T17:43:48,656,1,86.90,0.00,86.90
285,65,2025-02-14T00:26:05,553,1,267.32,0.00,267.32
286,65,2025-02-14T00:26:05,767,1,355.43,35.54,319.89
287,65,2025-02-14T00:26:05,167,1,242.27,48.45,193.82
288,66,2024-03-26T19:33:02,429,1,394.62,19.73,374.89
289,67,2026-04-03T12:14:48,359,3,415.57,0.00,1246.71
290,67,2026-04-03T12:14:48,949,1,279.52,0.00,279.52
291,67,2026-04-03T12:14:48,530,1,243.80,12.19,231.61
292,67,2026-04-03T12:14:48,123,2,384.92,0.00,769.84
293,68,2024-08-08T21:56:22,705,1,102.00,0.00,102.00
294,68,2024-08-08T21:56:22,616,1,17.38,1.74,15.64
295,68,2024-08-08T21:56:22,976,1,378.48,0.00,378.48
296,68,2024-08-08T21:56:22,403,2,398.53,0.00,797.06
297,68,2024-08-08T21:56:22,919,3,211.68,0.00,635.04
298,69,2026-01-31T07:42:14,320,1,338.97,50.85,288.12
299,69,2026-01-31T07:42:14,521,1,27.05,0.00,27.05
300,70,2026-04-16T08:24:22,326,1,476.69,0.00,476.69
301,70,2026-04-16T08:24:22,313,2,146.87,14.69,279.05
302,70,2026-04-16T08:24:22,584,1,393.28,39.33,353.95
303,70,2026-04-16T08:24:22,537,1,99.80,0.00,99.80
304,71,2026-06-29T19:55:53,902,1,53.28,0.00,53.28
305,71,2026-06-29T19:55:53,367,1,63.25,0.00,63.25
306,71,2026-06-29T19:55:53,605,1,471.70,0.00,471.70
307,71,2026-06-29T19:55:53,460,1,384.38,0.00,384.38
308,72,2026-06-02T09:59:45,871,1,129.66,6.48,123.18
309,72,2026-06-02T09:59:45,915,1,465.36,0.00,465.36
310,72,2026-06-02T09:59:45,295,1,216.19,21.62,194.57
311,72,2026-06-02T09:59:45,515,1,64.49,0.00,64.49
312,72,2026-06-02T09:59:45,364,1,424.91,0.00,424.91
313,72,2026-06-02T09:59:45,42,1,472.88,0.00,472.88
314,73,2025-08-17T03:33:54,879,2,508.67,101.73,915.61
315,73,2025-08-17T03:33:54,685,1,184.46,0.00,184.46
316,73,2025-08-17T03:33:54,942,2,405.61,0.00,811.22
317,73,2025-08-17T03:33:54,281,1,450.88,0.00,450.88
318,73,2025-08-17T03:33:54,337,1,282.06,0.00,282.06
319,73,2025-08-17T03:33:54,214,3,83.75,0.00,251.25
320,74,2026-01-09T06:36:18,353,1,143.45,0.00,143.45
321,74,2026-01-09T06:36:18,767,1,375.53,0.00,375.53
322,75,2026-06-10T03:11:37,848,1,271.80,0.00,271.80
323,75,2026-06-10T03:11:37,166,1,324.00,0.00,324.00
324,75,2026-06-10T03:11:37,44,3,295.04,0.00,885.12
325,75,2026-06-10T03:11:37,610,1,64.21,0.00,64.21
326,75,2026-06-10T03:11:37,148,1,71.53,0.00,71.53
327,76,2025-12-19T17:48:19,818,1,250.47,0.00,250.47
328,76,2025-12-19T17:48:19,104,2,199.90,0.00,399.80
329,76,2025-12-19T17:48:19,301,4,49.02,0.00,196.08
330,76,2025-12-19T17:48:19,329,1,17.04,0.00,17.04
331,77,2025-02-07T03:57:52,473,1,274.94,0.00,274.94
332,77,2025-02-07T03:57:52,857,1,103.35,0.00,103.35
333,77,2025-02-07T03:57:52,578,3,18.69,0.00,56.07
334,77,2025-02-07T03:57:52,287,2,467.41,46.74,888.08
335,78,2026-06-10T13:35:37,642,1,23.47,0.00,23.47
336,78,2026-06-10T13:35:37,513,2,64.23,0.00,128.46
337,79,2026-06-19T00:29:14,972,1,194.86,0.00,194.86
338,79,2026-06-19T00:29:14,959,1,466.12,0.00,466.12
339,79,2026-06-19T00:29:14,889,1,99.26,4.96,94.30
340,79,2026-06-19T00:29:14,170,4,148.77,0.00,595.08
341,79,2026-06-19T00:29:14,210,1,172.40,0.00,172.40
342,80,2026-06-29T23:45:17,186,1,129.32,12.93,116.39
343,80,2026-06-29T23:45:17,546,2,470.85,0.00,941.70
344,80,2026-06-29T23:45:17,814,1,192.53,0.00,192.53
345,80,2026-06-29T23:45:17,158,1,108.47,0.00,108.47
346,80,2026-06-29T23:45:17,972,3,193.06,0.00,579.18
347,80,2026-06-29T23:45:17,61,1,369.32,0.00,369.32
348,81,2025-11-19T12:00:50,520,1,520.91,0.00,520.91
349,81,2025-11-19T12:00:50,369,1,505.32,0.00,505.32
350,81,2025-11-19T12:00:50,915,3,477.06,0.00,1431.18
351,82,2025-11-24T08:31:35,320,1,355.29,0.00,355.29
352,83,2026-02-26T16:13:45,186,1,125.25,0.00,125.25
353,83,2026-02-26T16:13:45,571,2,191.91,0.00,383.82
354,83,2026-02-26T16:13:45,53,3,159.25,0.00,477.75
355,83,2026-02-26T16:13:45,642,1,24.51,0.00,24.51
356,83,2026-02-26T16:13:45,148,1,70.48,0.00,70.48
357,84,2023-09-18T13:32:30,386,1,283.62,0.00,283.62
358,84,2023-09-18T13:32:30,586,1,425.66,0.00,425.66
359,84,2023-09-18T13:32:30,868,1,136.55,0.00,136.55
360,84,2023-09-18T13:32:30,692,1,318.21,0.00,318.21
361,84,2023-09-18T13:32:30,842,1,168.77,0.00,168.77
362,84,2023-09-18T13:32:30,811,1,67.37,0.00,67.37
363,84,2023-09-18T13:32:30,722,2,268.59,26.86,510.32
364,84,2023-09-18T13:32:30,334,1,459.39,45.94,413.45
365,85,2025-08-27T13:45:54,351,1,123.78,0.00,123.78
366,85,2025-08-27T13:45:54,870,1,225.33,0.00,225.33
367,85,2025-08-27T13:45:54,243,1,355.70,0.00,355.70
368,85,2025-08-27T13:45:54,864,1,426.03,42.60,383.43
369,85,2025-08-27T13:45:54,117,1,381.39,19.07,362.32
370,86,2025-09-10T04:04:51,828,1,13.21,0.00,13.21
371,86,2025-09-10T04:04:51,251,1,308.50,0.00,308.50
372,86,2025-09-10T04:04:51,725,1,328.91,0.00,328.91
373,87,2025-08-15T13:03:52,960,1,365.20,0.00,365.20
374,87,2025-08-15T13:03:52,919,3,206.06,0.00,618.18
375,87,2025-08-15T13:03:52,418,2,6.25,0.00,12.50
376,87,2025-08-15T13:03:52,146,1,198.04,0.00,198.04
377,87,2025-08-15T13:03:52,416,1,41.08,0.00,41.08
378,87,2025-08-15T13:03:52,605,1,486.23,0.00,486.23
379,88,2026-05-29T06:52:36,471,1,383.08,0.00,383.08
380,88,2026-05-29T06:52:36,765,1,422.09,0.00,422.09
381,88,2026-05-29T06:52:36,648,1,159.58,0.00,159.58
382,88,2026-05-29T06:52:36,31,1,122.36,0.00,122.36
383,89,2026-02-24T06:42:53,921,1,81.99,0.00,81.99
384,89,2026-02-24T06:42:53,272,2,306.02,0.00,612.04
385,89,2026-02-24T06:42:53,115,1,109.81,0.00,109.81
386,89,2026-02-24T06:42:53,243,1,354.51,0.00,354.51
387,90,2026-05-25T15:48:49,821,1,475.13,0.00,475.13
388,91,2026-03-20T15:28:22,791,1,164.77,0.00,164.77
389,92,2026-05-24T08:36:56,449,4,70.75,0.00,283.00
390,92,2026-05-24T08:36:56,512,1,60.93,0.00,60.93
391,92,2026-05-24T08:36:56,275,1,179.51,0.00,179.51
392,92,2026-05-24T08:36:56,985,2,252.44,0.00,504.88
393,93,2026-04-18T06:52:54,544,2,328.31,0.00,656.62
394,93,2026-04-18T06:52:54,120,2,264.45,26.45,502.45
395,93,2026-04-18T06:52:54,541,1,183.63,0.00,183.63
396,93,2026-04-18T06:52:54,70,2,474.04,0.00,948.08
397,93,2026-04-18T06:52:54,134,1,185.50,0.00,185.50
398,93,2026-04-18T06:52:54,217,3,398.00,0.00,1194.00
399,94,2026-06-17T00:59:39,98,2,501.08,0.00,1002.16
400,94,2026-06-17T00:59:39,858,1,94.37,0.00,94.37
401,94,2026-06-17T00:59:39,627,1,113.96,0.00,113.96
402,94,2026-06-17T00:59:39,503,3,185.31,0.00,555.93
403,94,2026-06-17T00:59:39,736,1,262.32,0.00,262.32
404,95,2024-05-24T09:26:41,613,2,146.02,0.00,292.04
405,95,2024-05-24T09:26:41,615,3,433.91,0.00,1301.73
406,95,2024-05-24T09:26:41,565,1,395.20,0.00,395.20
407,95,2024-05-24T09:26:41,353,1,152.78,30.56,122.22
408,95,2024-05-24T09:26:41,1,4,6.72,0.00,26.88
409,95,2024-05-24T09:26:41,556,1,200.64,0.00,200.64
410,95,2024-05-24T09:26:41,780,2,101.94,0.00,203.88
411,96,2025-07-29T07:50:35,907,1,149.07,14.91,134.16
412,96,2025-07-29T07:50:35,238,1,210.33,0.00,210.33
413,96,2025-07-29T07:50:35,924,1,114.91,0.00,114.91
414,96,2025-07-29T07:50:35,51,1,116.65,0.00,116.65
415,97,2026-04-30T14:12:01,233,1,66.66,0.00,66.66
416,97,2026-04-30T14:12:01,848,3,273.84,0.00,821.52
417,97,2026-04-30T14:12:01,96,3,273.45,123.05,697.30
418,97,2026-04-30T14:12:01,476,2,259.39,0.00,518.78
419,97,2026-04-30T14:12:01,654,1,34.50,0.00,34.50
420,98,2026-04-24T11:52:12,43,1,238.05,0.00,238.05
421,98,2026-04-24T11:52:12,175,1,514.46,0.00,514.46
